time,device,trip,lat,lon,wiper,cam
274.8,10153,3605,42.236,-83.721,0,0
278.2,10153,3605,42.235,-83.72,0,0
282,10153,3605,42.235,-83.72,0,0
284.2,10153,3605,42.234,-83.72,0,0
287.6,10153,3605,42.234,-83.72,0,0
290.8,10153,3605,42.234,-83.72,0,0
293.2,10153,3605,42.233,-83.72,0,0
295.8,10153,3605,42.233,-83.72,0,0
299.2,10153,3605,42.232,-83.72,0,0
302.8,10153,3605,42.232,-83.72,0,0
304.8,10153,3605,42.232,-83.72,0,0
308.8,10153,3605,42.231,-83.72,0,0
312,10153,3605,42.231,-83.72,0,0
314.8,10153,3605,42.23,-83.72,0,0
317.2,10153,3605,42.23,-83.72,0,0
319.8,10153,3605,42.23,-83.72,0,0
322.8,10153,3605,42.23,-83.72,0,0
326.6,10153,3605,42.23,-83.72,0,0
329.2,10153,3605,42.23,-83.72,0,0
332,10153,3605,42.23,-83.72,0,0
334.8,10153,3605,42.23,-83.719,0,0
338,10153,3605,42.23,-83.719,0,0
341.8,10153,3605,42.23,-83.718,0,0
345,10153,3605,42.23,-83.717,0,0
348,10153,3605,42.23,-83.717,0,0
350,10153,3605,42.23,-83.717,0,0
353.4,10153,3605,42.23,-83.716,0,0
357,10153,3605,42.23,-83.715,0,0
360,10153,3605,42.23,-83.715,0,0
362,10153,3605,42.23,-83.715,0,0
366,10153,3605,42.23,-83.714,0,0
369,10153,3605,42.23,-83.714,0,0
370.8,10153,3605,42.23,-83.714,0,0
374.6,10153,3605,42.23,-83.713,0,0
377.6,10153,3605,42.23,-83.713,0,0
380.2,10153,3605,42.23,-83.712,0,0
383,10153,3605,42.23,-83.712,0,0
386,10153,3605,42.23,-83.711,0,0
390,10153,3605,42.23,-83.71,0,0
392,10153,3605,42.23,-83.71,0,0
395.4,10153,3605,42.23,-83.709,0,0
398.8,10153,3605,42.23,-83.709,0,0
400.8,10153,3605,42.23,-83.708,0,0
404.2,10153,3605,42.23,-83.708,0,0
407,10153,3605,42.23,-83.707,0,0
411,10153,3605,42.23,-83.706,0,0
413.4,10153,3605,42.23,-83.706,0,0
416.8,10153,3605,42.23,-83.705,0,0
418.8,10153,3605,42.23,-83.705,0,0
422.2,10153,3605,42.23,-83.704,0,0
425.4,10153,3605,42.23,-83.704,0,0
427.8,10153,3605,42.23,-83.704,0,0
430.8,10153,3605,42.23,-83.703,0,0
435,10153,3605,42.23,-83.702,0,0
438,10153,3605,42.23,-83.702,0,0
440.8,10153,3605,42.23,-83.701,0,0
444,10153,3605,42.23,-83.701,0,0
446.4,10153,3605,42.23,-83.701,0,0
449.4,10153,3605,42.23,-83.7,0,0
451.8,10153,3605,42.23,-83.7,0,0
455,10153,3605,42.23,-83.7,0,0
455,10153,3605,42.23,-83.7,0,0
455,10153,3605,42.23,-83.7,0,0
472.4,10616,813,42.295,-83.721,0,0
472.6,10153,3605,42.23,-83.7,0,0
472.6,10153,3605,42.23,-83.7,0,0
472.6,10153,3605,42.23,-83.7,0,0
473.2,10153,3605,42.23,-83.7,0,0
475.6,10616,813,42.295,-83.721,0,0
476.4,10153,3605,42.23,-83.7,0,0
478.4,10616,813,42.295,-83.721,0,0
478.8,10153,3605,42.23,-83.7,0,0
481.4,10616,813,42.295,-83.721,0,0
482.8,10153,3605,42.23,-83.699,0,0
485.2,10153,3605,42.23,-83.698,0,0
486.6,10616,813,42.295,-83.721,0,0
487.2,10616,813,42.295,-83.721,0,0
488.8,10153,3605,42.23,-83.698,0,0
490.8,10616,813,42.295,-83.72,0,0
491,10153,3605,42.23,-83.697,0,0
494,10616,813,42.295,-83.72,0,0
494.4,10153,3605,42.23,-83.696,0,0
496.8,10616,813,42.295,-83.72,0,0
497.6,10153,3605,42.23,-83.696,0,0
499.2,10616,813,42.295,-83.72,0,0
501,10153,3605,42.23,-83.695,0,0
502.8,10616,813,42.295,-83.719,0,0
503.4,10153,3605,42.23,-83.695,0,0
505.8,10616,813,42.295,-83.719,0,0
506.6,10153,3605,42.23,-83.694,0,0
508.8,10616,813,42.295,-83.719,0,0
509.6,10153,3605,42.23,-83.693,0,0
511.4,10616,813,42.294,-83.719,0,0
512,10153,3605,42.23,-83.693,0,0
514.6,10616,813,42.294,-83.719,0,0
515.4,10153,3605,42.23,-83.692,0,0
517.4,10616,813,42.294,-83.719,0,0
518,10153,3605,42.23,-83.691,0,0
520.6,10616,813,42.293,-83.719,0,0
521.4,10153,3605,42.23,-83.69,0,0
523.8,10616,813,42.293,-83.719,0,0
524.6,10153,3605,42.231,-83.69,0,0
526.6,10616,813,42.293,-83.719,0,0
527.6,10153,3605,42.231,-83.689,0,0
529.2,10616,813,42.293,-83.719,0,0
530.8,10153,3605,42.231,-83.688,0,0
532.8,10616,813,42.292,-83.719,0,0
533.6,10153,3605,42.231,-83.687,0,0
535.2,10616,813,42.292,-83.719,0,0
536.6,10153,3605,42.231,-83.687,0,0
538.4,10616,813,42.292,-83.719,0,0
539,10153,3605,42.231,-83.686,0,0
542,10616,813,42.291,-83.719,0,0
542.4,10153,3605,42.231,-83.685,0,0
544.4,10616,813,42.291,-83.719,0,0
545.4,10153,3605,42.231,-83.685,0,0
547.2,10616,813,42.291,-83.719,0,0
548.2,10153,3605,42.231,-83.684,0,0
550.8,10616,813,42.291,-83.719,0,0
551.4,10153,3605,42.231,-83.683,0,0
553.8,10616,813,42.291,-83.719,0,0
554.8,10153,3605,42.231,-83.683,0,0
556.8,10616,813,42.29,-83.719,0,0
558,10153,3605,42.231,-83.682,0,0
559.4,10616,813,42.29,-83.718,0,0
560.2,10153,3605,42.231,-83.681,0,0
562.4,10616,813,42.29,-83.718,0,0
562.8,10153,3605,42.231,-83.681,0,0
565.4,10616,813,42.29,-83.718,0,0
565.8,10153,3605,42.231,-83.68,0,0
568.8,10153,3605,42.231,-83.68,0,0
569,10616,813,42.29,-83.717,0,0
571.4,10616,813,42.29,-83.717,0,0
572.2,10153,3605,42.231,-83.679,0,0
574.8,10616,813,42.29,-83.717,0,0
575.6,10153,3605,42.231,-83.679,0,0
577.6,10616,813,42.29,-83.717,0,0
579,10153,3605,42.231,-83.679,0,0
580.6,10616,813,42.29,-83.718,0,0
581.6,10153,3605,42.231,-83.679,0,0
583.8,10153,3605,42.231,-83.679,0,0
584,10616,813,42.29,-83.718,0,0
586.8,10616,813,42.29,-83.718,0,0
587.6,10153,3605,42.231,-83.679,0,0
589.8,10153,3605,42.231,-83.679,0,0
589.8,10616,813,42.29,-83.718,0,0
592.8,10616,813,42.29,-83.718,0,0
593.8,10153,3605,42.231,-83.678,0,0
595.8,10616,813,42.291,-83.718,0,0
597,10153,3605,42.231,-83.678,0,0
598.2,10616,813,42.291,-83.718,0,0
599.2,10153,3605,42.231,-83.678,0,0
601.6,10616,813,42.291,-83.718,0,0
602.4,10153,3605,42.231,-83.678,0,0
604.4,10616,813,42.291,-83.718,0,0
605,10153,3605,42.231,-83.678,0,0
607.2,10616,813,42.291,-83.718,0,0
608.8,10153,3605,42.232,-83.678,0,0
610.4,10616,813,42.292,-83.718,0,0
610.8,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10153,3605,42.232,-83.678,0,0
613.4,10616,813,42.292,-83.718,0,0
617,10616,813,42.292,-83.718,0,0
619.4,10616,813,42.292,-83.718,0,0
622.8,10616,813,42.292,-83.718,0,0
625.4,10616,813,42.293,-83.718,0,0
628.6,10616,813,42.293,-83.718,0,0
631.6,10616,813,42.293,-83.718,0,0
634.8,10616,813,42.293,-83.718,0,0
637.8,10616,813,42.293,-83.717,0,0
640.6,10616,813,42.292,-83.717,0,0
643.4,10616,813,42.292,-83.717,0,0
643.4,10616,813,42.292,-83.717,0,0
643.4,10616,813,42.292,-83.717,0,0
643.4,10616,813,42.292,-83.717,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
684.6,10153,3605,42.232,-83.678,0,0
686.4,10153,3605,42.232,-83.678,0,0
688.8,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
690.2,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805,10153,3605,42.232,-83.678,0,0
805.8,10153,3605,42.232,-83.679,0,0
809.8,10153,3605,42.232,-83.679,0,0
812.6,10153,3605,42.231,-83.679,0,0
815.2,10153,3605,42.231,-83.679,0,0
818.6,10153,3605,42.231,-83.679,0,0
821.6,10153,3605,42.231,-83.679,0,0
824.4,10153,3605,42.231,-83.679,0,0
828,10153,3605,42.231,-83.679,0,0
830,10153,3605,42.231,-83.679,0,0
833.2,10153,3605,42.231,-83.679,0,0
836.4,10153,3605,42.231,-83.678,0,0
840,10153,3605,42.231,-83.677,0,0
842,10153,3605,42.231,-83.677,0,0
845.4,10153,3605,42.231,-83.676,0,0
847.8,10153,3605,42.231,-83.676,0,0
851.2,10153,3605,42.231,-83.675,0,0
853.8,10153,3605,42.231,-83.674,0,0
857.8,10153,3605,42.231,-83.673,0,0
861,10153,3605,42.23,-83.673,0,0
863.2,10153,3605,42.23,-83.672,0,0
866.2,10153,3605,42.23,-83.672,0,0
868.8,10153,3605,42.23,-83.672,0,0
873,10153,3605,42.23,-83.671,0,0
874.8,10153,3605,42.23,-83.671,0,0
877.8,10153,3605,42.23,-83.671,0,0
881.2,10153,3605,42.23,-83.67,0,0
884,10153,3605,42.23,-83.67,0,0
886.8,10153,3605,42.23,-83.669,0,0
890.6,10153,3605,42.23,-83.669,0,0
893,10153,3605,42.23,-83.668,0,0
896,10153,3605,42.23,-83.667,0,0
898.8,10153,3605,42.23,-83.667,0,0
901.8,10153,3605,42.23,-83.666,0,0
905.6,10153,3605,42.23,-83.665,0,0
907.8,10153,3605,42.23,-83.665,0,0
910.8,10153,3605,42.23,-83.664,0,0
914.4,10153,3605,42.23,-83.663,0,0
917.8,10153,3605,42.23,-83.662,0,0
920.8,10153,3605,42.23,-83.662,0,0
923.8,10153,3605,42.23,-83.661,0,0
926.4,10153,3605,42.23,-83.661,0,0
929.6,10153,3605,42.23,-83.661,0,0
933,10153,3605,42.23,-83.66,0,0
935.4,10153,3605,42.23,-83.66,0,0
938.4,10153,3605,42.23,-83.659,0,0
939.8,10173,1128,42.209,-83.668,0,0
942,10153,3605,42.23,-83.658,0,0
942.6,10173,1128,42.209,-83.669,0,0
944.8,10153,3605,42.23,-83.658,0,0
945,10173,1128,42.209,-83.669,0,0
947.8,10173,1128,42.209,-83.669,0,0
948,10153,3605,42.23,-83.657,0,0
950.2,10153,3605,42.23,-83.657,0,0
950.8,10173,1128,42.209,-83.67,0,0
953,10153,3605,42.23,-83.656,0,0
954.2,10173,1128,42.209,-83.67,0,0
955.8,10153,3605,42.23,-83.655,0,0
957,10173,1128,42.209,-83.67,0,0
958.8,10153,3605,42.23,-83.655,0,0
959.6,10173,1128,42.209,-83.67,0,0
962.2,10153,3605,42.23,-83.654,0,0
962.6,10173,1128,42.208,-83.67,0,0
965.2,10153,3605,42.23,-83.653,0,0
965.6,10173,1128,42.208,-83.67,0,0
967.8,10153,3605,42.23,-83.653,0,0
968.4,10173,1128,42.207,-83.67,0,0
971.2,10173,1128,42.207,-83.67,0,0
971.6,10153,3605,42.23,-83.652,0,0
974,10153,3605,42.23,-83.651,0,0
974.4,10173,1128,42.206,-83.67,0,0
976.8,10153,3605,42.23,-83.651,0,0
977.2,10173,1128,42.206,-83.67,0,0
980.2,10173,1128,42.205,-83.67,0,0
980.4,10153,3605,42.23,-83.65,0,0
982.8,10173,1128,42.205,-83.67,0,0
983.2,10153,3605,42.23,-83.649,0,0
985.6,10173,1128,42.204,-83.67,0,0
986,10153,3605,42.23,-83.649,0,0
988.8,10173,1128,42.204,-83.669,0,0
989,10153,3605,42.231,-83.648,0,0
991.6,10173,1128,42.204,-83.669,0,0
992.8,10153,3605,42.231,-83.648,0,0
993.8,10173,1128,42.204,-83.669,0,0
995.4,10153,3605,42.231,-83.647,0,0
997.2,10173,1128,42.204,-83.669,0,0
998.2,10153,3605,42.231,-83.647,0,0
1000.2,10173,1128,42.205,-83.668,0,0
1000.8,10153,3605,42.231,-83.646,0,0
1002.4,10173,1128,42.205,-83.668,0,0
1004.6,10153,3605,42.231,-83.645,0,0
1005.2,10173,1128,42.205,-83.668,0,0
1007,10153,3605,42.231,-83.645,0,0
1008.8,10173,1128,42.204,-83.668,0,0
1011,10153,3605,42.231,-83.645,0,0
1011.2,10173,1128,42.204,-83.668,0,0
1013.2,10153,3605,42.231,-83.644,0,0
1014.4,10173,1128,42.204,-83.668,0,0
1015.6,10153,3605,42.231,-83.644,0,0
1015.6,10153,3605,42.231,-83.644,0,0
1015.6,10153,3605,42.231,-83.644,0,0
1015.6,10153,3605,42.231,-83.644,0,0
1015.6,10153,3605,42.231,-83.644,0,0
1015.6,10153,3605,42.231,-83.644,0,0
1017,10173,1128,42.203,-83.668,0,0
1020.2,10173,1128,42.203,-83.668,0,0
1022.6,10173,1128,42.203,-83.668,0,0
1025.8,10173,1128,42.203,-83.668,0,0
1028.6,10173,1128,42.202,-83.667,0,0
1031,10173,1128,42.202,-83.667,0,0
1034.6,10173,1128,42.202,-83.667,0,0
1037.6,10173,1128,42.202,-83.666,0,0
1040,10173,1128,42.202,-83.666,0,0
1042.8,10173,1128,42.202,-83.666,0,0
1045.4,10173,1128,42.202,-83.665,0,0
1048.4,10173,1128,42.202,-83.665,0,0
1051.2,10173,1128,42.202,-83.665,0,0
1051.6,10153,3605,42.231,-83.644,0,0
1051.6,10153,3605,42.231,-83.644,0,0
1051.6,10153,3605,42.231,-83.644,0,0
1051.6,10153,3605,42.231,-83.644,0,0
1051.6,10153,3605,42.231,-83.644,0,0
1051.6,10153,3605,42.231,-83.644,0,0
1053,10153,3605,42.231,-83.644,0,0
1054.6,10106,3470,42.267,-83.761,0,0
1054.8,10173,1128,42.202,-83.664,0,0
1055.2,10153,3605,42.231,-83.644,0,0
1057.4,10106,3470,42.267,-83.761,0,0
1057.6,10173,1128,42.202,-83.664,0,0
1058.6,10153,3605,42.231,-83.644,0,0
1060.4,10173,1128,42.202,-83.664,0,0
1061,10106,3470,42.268,-83.761,0,0
1061.2,10153,3605,42.231,-83.643,0,0
1062.8,10106,3470,42.268,-83.761,0,0
1063.4,10173,1128,42.202,-83.663,0,0
1064.8,10106,3470,42.268,-83.761,0,0
1064.8,10153,3605,42.231,-83.643,0,0
1066,10173,1128,42.202,-83.663,0,0
1067.4,10153,3605,42.231,-83.642,0,0
1067.8,10106,3470,42.268,-83.761,0,0
1068.6,10173,1128,42.203,-83.663,0,0
1070.4,10106,3470,42.268,-83.761,0,0
1070.8,10153,3605,42.231,-83.641,0,0
1072,10173,1128,42.203,-83.663,0,0
1072.8,10153,3605,42.231,-83.641,0,0
1073.6,10106,3470,42.268,-83.761,0,0
1074.4,10173,1128,42.203,-83.663,0,0
1076.2,10106,3470,42.268,-83.761,0,0
1076.6,10153,3605,42.231,-83.64,0,0
1077.2,10173,1128,42.203,-83.663,0,0
1079.4,10153,3605,42.231,-83.64,0,0
1079.6,10106,3470,42.268,-83.762,0,0
1080.6,10173,1128,42.204,-83.663,0,0
1082.8,10106,3470,42.268,-83.762,0,0
1083,10153,3605,42.231,-83.64,0,0
1083.2,10173,1128,42.204,-83.663,0,0
1086,10153,3605,42.231,-83.639,0,0
1086.2,10173,1128,42.204,-83.663,0,0
1086.4,10106,3470,42.268,-83.763,0,0
1087.2,10153,3605,42.231,-83.639,0,0
1089.2,10173,1128,42.204,-83.663,0,0
1089.4,10106,3470,42.268,-83.763,0,0
1091.4,10173,1128,42.204,-83.662,0,0
1092.4,10106,3470,42.268,-83.764,0,0
1093.2,10153,3605,42.231,-83.639,0,0
1094.6,10173,1128,42.204,-83.662,0,0
1094.8,10153,3605,42.231,-83.639,0,0
1095.6,10106,3470,42.268,-83.764,0,0
1097.8,10153,3605,42.231,-83.639,0,0
1098,10173,1128,42.204,-83.662,0,0
1098.6,10106,3470,42.268,-83.764,0,0
1100.2,10153,3605,42.231,-83.639,0,0
1100.2,10173,1128,42.204,-83.662,0,0
1101.6,10106,3470,42.268,-83.765,0,0
1102.8,10173,1128,42.204,-83.662,0,0
1103.6,10153,3605,42.231,-83.638,0,0
1104.4,10106,3470,42.268,-83.765,0,0
1106.4,10173,1128,42.204,-83.662,0,0
1107,10153,3605,42.231,-83.638,0,0
1107.6,10106,3470,42.268,-83.766,0,0
1108.6,10173,1128,42.204,-83.662,0,0
1110,10153,3605,42.231,-83.637,0,0
1110.8,10106,3470,42.268,-83.766,0,0
1111.6,10173,1128,42.204,-83.662,0,0
1112,10153,3605,42.232,-83.637,0,0
1113.6,10106,3470,42.268,-83.766,0,0
1114.8,10173,1128,42.204,-83.662,0,0
1115.2,10153,3605,42.232,-83.636,0,0
1116.2,10106,3470,42.268,-83.767,0,0
1117.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.6,10173,1128,42.203,-83.662,0,0
1118.8,10106,3470,42.268,-83.767,0,0
1118.8,10153,3605,42.232,-83.636,0,0
1121.4,10153,3605,42.233,-83.635,0,0
1122.2,10106,3470,42.268,-83.767,0,0
1123.8,10153,3605,42.233,-83.635,0,0
1125,10106,3470,42.269,-83.767,0,0
1127.4,10153,3605,42.233,-83.634,0,0
1128,10106,3470,42.269,-83.767,0,0
1131,10153,3605,42.234,-83.633,0,0
1131.4,10106,3470,42.269,-83.767,0,0
1133.8,10153,3605,42.234,-83.633,0,0
1134.2,10106,3470,42.269,-83.767,0,0
1136.6,10153,3605,42.234,-83.632,0,0
1137.8,10106,3470,42.269,-83.767,0,0
1139.8,10153,3605,42.234,-83.631,0,0
1141.2,10106,3470,42.269,-83.767,0,0
1142.8,10153,3605,42.235,-83.631,0,0
1143.8,10106,3470,42.27,-83.767,0,0
1145.4,10153,3605,42.235,-83.63,0,0
1146.6,10106,3470,42.27,-83.767,0,0
1147.8,10153,3605,42.235,-83.63,0,0
1149.4,10106,3470,42.271,-83.767,0,0
1151,10153,3605,42.236,-83.629,0,0
1153,10106,3470,42.271,-83.767,0,0
1154.8,10153,3605,42.236,-83.629,0,0
1156.6,10106,3470,42.271,-83.768,0,0
1157.6,10153,3605,42.236,-83.628,0,0
1159,10106,3470,42.271,-83.768,0,0
1160.6,10153,3605,42.236,-83.628,0,0
1162.2,10106,3470,42.271,-83.768,0,0
1163.2,10153,3605,42.237,-83.627,0,0
1164.6,10106,3470,42.271,-83.769,0,0
1166.8,10153,3605,42.237,-83.627,0,0
1167.6,10106,3470,42.271,-83.769,0,0
1169.2,10153,3605,42.237,-83.626,0,0
1170.4,10106,3470,42.271,-83.769,0,0
1171.6,10173,1128,42.203,-83.662,0,0
1171.6,10173,1128,42.203,-83.662,0,0
1171.6,10173,1128,42.203,-83.662,0,0
